"wait_time","standby_time","calling_time","attendant_machine_id","service_room_id","pause_time","relocate","disconnected_by_attendant","ticket_priority","number_of_breaks","ticket_category","attendant_id","call_surplus","attendant_level","duration_categories","short_call","call_period","customer_time_talks","pause_time_category","region","out_average","resolved_tickets"
2,0,0,125,6,0,1,1,4,1,9,4662045,2,9,"de 5 a 10 min",0,"noite","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,9,4639897,2,9,"de 1 a 5 min",0,"noite","de 1 a 5 min","rapida","Sudeste",0,"True"
3,0,0,125,6,0,1,1,4,1,1,4587698,2,1,"de 5 a 10 min",0,"tarde","de 5 a 10 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4690534,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","rapida","Sudeste",0,"True"
2,0,0,125,6,0,0,0,4,0,1,4664342,2,1,"até 1 min",1,"noite","até 1 min","rapida","Sudeste",0,"True"
17,0,0,1305,7,0,1,1,5,1,1,4180044,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100013,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100011,2,1,"de 10 a 30 min",0,"manhã","até 1 min","média","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180012,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180005,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180047,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180005,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180016,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,0,0,5,0,1,4180008,2,1,"até 1 min",1,"manhã","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180006,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180010,2,1,"de 1 a 5 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100007,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","longa","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4180004,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,126,6,0,1,1,4,1,9,4673882,2,9,"maior que 30 min",0,"tarde","de 10 a 30 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4180004,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100029,2,1,"de 10 a 30 min",0,"manhã","de 1 a 5 min","longa","Sudeste",1,"True"
3,0,1,2326,7,0,1,1,5,1,1,4100032,2,1,"de 1 a 5 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
2,0,0,2326,7,0,1,1,5,1,1,4180019,2,1,"de 5 a 10 min",0,"manhã","de 1 a 5 min","média","Sudeste",0,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100026,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
16,0,0,1305,7,0,1,1,5,1,1,4100032,2,1,"de 10 a 30 min",0,"tarde","de 1 a 5 min","média","Sudeste",1,"True"
17,0,1,1305,7,0,1,1,5,1,1,4100027,2,1,"de 5 a 10 min",0,"tarde","de 1 a 5 min","média","Sudeste",0,"True"
16,0,0,1305,7,0,0,0,5,0,1,4100031,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,0,0,5,0,1,4100032,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
17,0,1,1305,7,0,0,0,5,0,1,4100022,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
5,0,1,1,7,0,0,0,4,0,1,4180017,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
2,0,0,2326,7,0,0,0,5,0,1,4100007,2,1,"até 1 min",1,"tarde","até 1 min","rapida","Sudeste",0,"True"
